Minute	Commentary
48	Alexandre Lacazette provided the assist for the goal.
48	GOOOOOAAL! - Gabriel Martinelli scores with the right foot!
48	CHANCE! Gabriel Martinelli finds himself in a 1 on 1 situation with the keeper...
48	Alexandre Lacazette carves the opponent's defense open with a killer through-ball
48	Michail Antonio from West Ham goes a bit too far there as the pulls down Gabriel
47	West Ham plays a short goal kick.
47	Bukayo Saka goes for goal, but his effort was never close to hitting the target.
46	Arsenal is in control of the ball.
46	West Ham take a throw-in at the left side of the pitch in their own half of the field
46	The second half is underway.
47	It's over! The referee blows for half time
47	Ball possession: Arsenal: 56%, West Ham: 44%.
46	West Ham take a throw-in at the right side of the pitch in the opponent's half of the field
46	Gabriel relieves the pressure with a clearance
46	Arthur Masuaku puts in a cross...
46	West Ham is trying to create something here.
46	Ben White relieves the pressure with a clearance
46	A player from West Ham takes a long throw from right side of the pitch into the opponent's box
46	Arsenal take a throw-in at the left side of the pitch in their own half of the field
46	The fourth official shows there are 1 minute(s) of time to be added.
45	Ball possession: Arsenal: 55%, West Ham: 45%.
45	West Ham plays a short goal kick.
45	Great defending by Craig Dawson from West Ham to prevent his team conceding a goal.
45	Gabriel Martinelli from Arsenal sends an effort wide of target
45	Alexandre Lacazette tests Lukasz Fabianski with a long range shot, which is parried back into play!
45	Safe hands from Aaron Ramsdale as he comes out and claims the ball
44	Michail Antonio puts in a cross...
44	West Ham start a counter attack.
44	A shot by Gabriel Martinelli is blocked.
44	Takehiro Tomiyasu puts in a cross...
43	Arsenal with a potentially dangerous attack.
43	Arsenal is trying to create something here.
42	A shot by Thomas Partey is blocked.
42	Bukayo Saka from Arsenal tries to pick out a team-mate in the area but his cross is blocked by an opponent.
42	Arsenal with a potentially dangerous attack.
42	West Ham is in control of the ball.
41	Tomas Soucek relieves the pressure with a clearance
41	Bukayo Saka from Arsenal swings in the corner from the right.
41	Arsenal are piling the pressure on and look like scoring anytime
40	Kieran Tierney from Arsenal sees his effort hit the crossbar after the keeper parries the ball.
40	Great defending by Craig Dawson from West Ham to prevent his team conceding a goal.
40	Granit Xhaka has a great chance to score, but fails to score as his effort is blocked!
40	Bukayo Saka from Arsenal directs a ball squarely in the box.
40	Some neat football here as Bukayo Saka from Arsenal plays a 1-2 with Martin Oedegaard.
40	Ball possession: Arsenal: 56%, West Ham: 44%.
40	Arsenal take a throw-in at the right side of the pitch in the opponent's half of the field
39	Arsenal take a throw-in at the right side of the pitch in the opponent's half of the field
39	Arsenal take a throw-in at the right side of the pitch in their own half of the field
38	Goal kick for Arsenal.
38	Arthur Masuaku from West Ham sends an effort wide of target
38	Manuel Lanzini of West Ham passes the ball to a team mate.
38	Poor play by Takehiro Tomiyasu as his weak attempt to clear the ball puts his side under pressure
38	Vladimir Coufal puts in a cross...
37	Arsenal take a throw-in at the left side of the pitch in their own half of the field
36	Vladimir Coufal from West Ham tries to pick out a team-mate in the area but his cross is blocked by an opponent.
36	Declan Rice sends a long ball upfield.
36	A shot by Jarrod Bowen is blocked.
35	Arsenal plays a short goal kick.
35	Ball possession: Arsenal: 53%, West Ham: 47%.
35	Pablo Fornals from West Ham tries to score from outside the penalty box. Unfortunately the effort is just outside the frame. Close!
35	Ben White relieves the pressure with a clearance
34	Jarrod Bowen swings in a cross from the free kick.
34	The referee signals a free kick as Alexandre Lacazette from Arsenal trips Tomas Soucek
33	West Ham with a potentially dangerous attack.
33	Arsenal is in control of the ball.
32	West Ham take a throw-in at the right side of the pitch in the opponent's half of the field
32	Goal kick for West Ham.
31	That's a great ball by Takehiro Tomiyasu from Arsenal. He directs the ball behind the defence, but the chance eventually goes begging
31	Bukayo Saka from Arsenal tries to play a nice 1-2 with a team mate, but the keeper comes out and claims it.
30	Ball possession: Arsenal: 48%, West Ham: 52%.
30	Arsenal take a throw-in at the left side of the pitch in their own half of the field
30	The game is restarted.
29	Play has been stopped because there is a player lying on the pitch.
29	Good effort by Alexandre Lacazette as he directs a shot on target, but the keeper saves it
29	Danger averted there as Craig Dawson from West Ham clears the danger with a good tackle
29	Martin Oedegaard of Arsenal passes the ball to a team mate.
29	Alexandre Lacazette puts in a cross...
28	Craig Dawson relieves the pressure with a clearance
28	Alexandre Lacazette from Arsenal heads the ball to a team mate.
28	Takehiro Tomiyasu puts in a cross...
27	Arsenal take a throw-in at the right side of the pitch in the opponent's half of the field
27	Arthur Masuaku comes back onto the field.
27	Goal kick for West Ham.
27	The game is restarted.
27	Arthur Masuaku is injured and is taken off the field to receive medical treatment.
26	Arthur Masuaku is down injured and receives medical attention on the field.
25	Ball possession: Arsenal: 44%, West Ham: 56%.
25	Play has been stopped because there is a player lying on the pitch.
25	Great vision by Arthur Masuaku from West Ham as he stops a promising attack with an interception.
25	A shot by Bukayo Saka is blocked.
25	Some neat football here as Bukayo Saka from Arsenal plays a 1-2 with Takehiro Tomiyasu.
25	Alexandre Lacazette from Arsenal tries to head the ball to a team mate, but it's intercepted by an opponent player.
25	Bukayo Saka puts in a cross...
24	Arsenal with a potentially dangerous attack.
23	Arsenal take a throw-in at the right side of the pitch in their own half of the field
22	West Ham is trying to create something here.
21	The game is restarted.
21	Play has been stopped because there is a player lying on the pitch.
21	Michail Antonio from West Ham goes a bit too far there as the pulls down Thomas Partey
20	Arsenal take a throw-in at the right side of the pitch in the opponent's half of the field
20	Ball possession: Arsenal: 51%, West Ham: 49%.
19	West Ham take a throw-in at the left side of the pitch in the opponent's half of the field
19	West Ham take a throw-in at the left side of the pitch in the opponent's half of the field
19	Aaron Ramsdale relieves the pressure with a clearance
18	Jarrod Bowen from West Ham swings in the corner from the right.
18	Kieran Tierney clears the danger but is forced to give away a corner...
18	A player from West Ham takes a long throw from right side of the pitch into the opponent's box
18	West Ham take a throw-in at the right side of the pitch in the opponent's half of the field
17	West Ham is trying to create something here.
17	West Ham take a throw-in at the right side of the pitch in their own half of the field
16	The referee signals a free kick as Arthur Masuaku from West Ham trips Bukayo Saka
16	Arsenal is trying to create something here.
15	West Ham take a throw-in at the left side of the pitch in their own half of the field
15	Ball possession: Arsenal: 49%, West Ham: 51%.
15	West Ham take a throw-in at the left side of the pitch in their own half of the field
14	West Ham take a throw-in at the left side of the pitch in their own half of the field
14	Declan Rice relieves the pressure with a clearance
14	Gabriel Martinelli from Arsenal swings in the corner from the left.
14	Jarrod Bowen clears the danger but is forced to give away a corner...
13	Takehiro Tomiyasu puts in a cross...
12	Gabriel Martinelli is penalised for pushing Jarrod Bowen.
12	Could be a good chance here as Kieran Tierney from Arsenal cuts the opponents defense open with a through ball...
12	Declan Rice relieves the pressure with a clearance
12	Martin Oedegaard swings in a cross from the free kick.
12	The game is restarted.
11	Vladimir Coufal commits a rough foul on an opponent and goes into the referee's book.
11	The play is stopped. The players are pushing and shouting at each-other, the referee should take action.
11	Vladimir Coufal from West Ham commits a foul by elbowing Kieran Tierney
10	Arsenal take a throw-in at the left side of the pitch in the opponent's half of the field
10	Granit Xhaka takes the free-kick but it is blocked by the wall
10	Ball possession: Arsenal: 18%, West Ham: 82%.
9	The referee signals a free kick as Declan Rice from West Ham trips Alexandre Lacazette
9	Goal kick for Arsenal.
8	Craig Dawson goes for goal, but his effort was never close to hitting the target.
8	Manuel Lanzini of West Ham passes the ball to a team mate.
8	Thomas Partey relieves the pressure with a clearance
8	Declan Rice puts in a cross...
7	West Ham with a potentially dangerous attack.
7	The referee signals a free kick as Thomas Partey from Arsenal trips Manuel Lanzini
6	West Ham is trying to create something here.
6	Arsenal take a throw-in at the right side of the pitch in their own half of the field
5	Arsenal take a throw-in at the left side of the pitch in their own half of the field
5	West Ham take a throw-in at the right side of the pitch in the opponent's half of the field
5	Ball possession: Arsenal: 51%, West Ham: 49%.
4	West Ham take a throw-in at the right side of the pitch in the opponent's half of the field
4	Arsenal is trying to create something here.
3	Arsenal is in control of the ball.
3	Arsenal with a potentially dangerous attack.
2	Arsenal take a throw-in at the left side of the pitch in the opponent's half of the field
2	West Ham take a throw-in at the left side of the pitch in the opponent's half of the field
1	Arsenal take a throw-in at the right side of the pitch in their own half of the field
1	The pitch is in fantastic condition today and the players are enjoying the surface.
1	Welcome to tonights game where the floodlight surrounds the pitch.
1	West Ham kick-off, and the game is underway.The referee starts the match.Before we get underway, the players and crowd observe a minute's silence.Welcome to Emirates Stadium, the match will start in about 5 minutes.Less commentary
104	Both teams could have won today but Wolverhampton Wanderers just managed to carve out the victory
104	That's it! The referee blows the final whistle
104	Ball possession: Brighton: 59%, Wolverhampton Wanderers: 41%.
104	Romain Saiss from Wolverhampton Wanderers is a contender for Man of the Match after a great performance today
104	Goal kick for Brighton.
103	Wolverhampton Wanderers take a throw-in at the left side of the pitch in the opponent's half of the field
103	Danger averted there as Tariq Lamptey from Brighton clears the danger with a good tackle
103	Daniel Podence from Wolverhampton Wanderers takes the ball forward trying to make something happen...
103	Wolverhampton Wanderers start a counter attack.
103	Solly March from Brighton sees his pass blocked by an opponent.
103	Romain Saiss relieves the pressure with a clearance
102	Alexis Mac Allister swings in a cross from the free kick.
102	The referee signals a free kick as Joao Moutinho from Wolverhampton Wanderers trips Tariq Lamptey
102	Solly March swings in a cross from the free kick.
101	Obstruction as Nelson Semedo cuts off the run of Solly March. A free-kick is awarded.
101	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
101	Adama Traore is leaving the field to be replaced by Fabio Silva in a tactical substitution.
100	Leandro Trossard takes the free-kick but it is blocked by the wall
100	Ball possession: Brighton: 60%, Wolverhampton Wanderers: 40%.
100	Leander Dendoncker from Wolverhampton Wanderers goes a bit too far there as the pulls down Alexis Mac Allister
99	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
99	Brighton is trying to create something here.
99	Taylor Richards is penalised for pushing Joao Moutinho.
98	Brighton is in control of the ball.
97	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
97	Brighton is trying to create something here.
96	Brighton is in control of the ball.
96	Wolverhampton Wanderers take a throw-in at the right side of the pitch in the opponent's half of the field
95	Goal kick for Wolverhampton Wanderers.
95	Ball possession: Brighton: 59%, Wolverhampton Wanderers: 41%.
95	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
94	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
94	Wolverhampton Wanderers with a clear defensive substitution as Trincao comes off for the more defensively minded Leander Dendoncker
94	Trincao is leaving the field to be replaced by Leander Dendoncker in a tactical substitution.
93	Tariq Lamptey from Brighton tries to pick out a team-mate in the area but his cross is blocked by an opponent.
93	Brighton is in control of the ball.
93	Brighton is in control of the ball.
92	The game is restarted.
91	Adama Traore is down injured and receives medical attention on the field.
91	Play has been stopped because there is a player lying on the pitch.
91	After a tactical foul, Daniel Burn sees no other way than stopping the counter and receives a yellow card.
91	The referee signals a free kick as Daniel Burn from Brighton trips Adama Traore
91	The fourth official shows there are 11 minute(s) of time to be added.
91	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
90	Ball possession: Brighton: 57%, Wolverhampton Wanderers: 43%.
90	Danger averted there as Joel Veltman from Brighton clears the danger with a good tackle
89	Great skill from Daniel Podence as he dribbles past his opponents
89	Wolverhampton Wanderers start a counter attack.
89	Romain Saiss relieves the pressure with a clearance
89	Tariq Lamptey puts in a cross...
88	Wolverhampton Wanderers is in control of the ball.
88	Joao Moutinho relieves the pressure with a clearance
88	Leandro Trossard from Brighton directs a ball squarely in the box, but it's intercepted by an opponent player.
87	The referee signals a free kick as Romain Saiss from Wolverhampton Wanderers trips Taylor Richards
87	Brighton is in control of the ball.
87	Today's attendance is 30362.
86	Solly March from Brighton is ruled offside.
86	A shot by Marc Cucurella is blocked.
86	Adam Lallana from Brighton directs the ball behind the defence, but it's intercepted by an opponent player.
86	Brighton is in control of the ball.
85	The match is very one-sided right now. Brighton are clearly dominating possession
85	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
85	Ball possession: Brighton: 57%, Wolverhampton Wanderers: 43%.
85	Wolverhampton Wanderers take a throw-in at the left side of the pitch in the opponent's half of the field
84	Safe hands from Jose Sa as he comes out and claims the ball
84	Joel Veltman puts in a cross...
84	Enock Mwepu is leaving the field to be replaced by Taylor Richards in a tactical substitution.
84	Yves Bissouma is leaving the field to be replaced by Adam Lallana in a tactical substitution.
83	The referee signals a free kick as Joao Moutinho from Wolverhampton Wanderers trips Tariq Lamptey
83	Marc Cucurella from Brighton directs the ball behind the defence, but it's intercepted by an opponent player.
82	Brighton is in control of the ball.
82	A shot by Nelson Semedo is blocked.
82	Daniel Burn relieves the pressure with a clearance
82	Trincao from Wolverhampton Wanderers swings in the corner from the right.
81	Ruben Neves from Wolverhampton Wanderers sees his pass blocked by an opponent.
81	Wolverhampton Wanderers start a counter attack.
81	Romain Saiss relieves the pressure with a clearance
81	Alexis Mac Allister from Brighton swings in the corner from the right.
80	Fernando Marcal clears the danger but is forced to give away a corner...
80	Solly March swings in a cross from the free kick.
80	Ball possession: Brighton: 57%, Wolverhampton Wanderers: 43%.
79	Fernando Marcal is penalised for pushing Tariq Lamptey.
79	Brighton is in control of the ball.
78	Wolverhampton Wanderers is trying to create something here.
78	The referee signals a free kick as Solly March from Brighton trips Trincao
78	Brighton is trying to create something here.
77	Brighton take a throw-in at the right side of the pitch in their own half of the field
77	The game is restarted.
76	Fernando Marcal is down injured and receives medical attention on the field.
76	Play has been stopped because there is a player lying on the pitch.
75	Brighton take a throw-in at the right side of the pitch in their own half of the field
75	That looked a fine chance. Nelson Semedo from Wolverhampton Wanderers directs a ball squarely in the box, but it comes to nothing in the end
75	Ball possession: Brighton: 56%, Wolverhampton Wanderers: 44%.
75	Could be a good chance here as Adama Traore from Wolverhampton Wanderers cuts the opponents defense open with a through ball...
74	Wolverhampton Wanderers is trying to create something here.
74	Goal kick for Wolverhampton Wanderers.
73	Alexis Mac Allister fails to find the target with a shot from outside the box
73	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
73	Solly March from Brighton tries to pick out a team-mate in the area but his cross is blocked by an opponent.
72	Brighton is trying to create something here.
72	Brighton is trying to create something here.
72	Brighton is in control of the ball.
71	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
71	Wolverhampton Wanderers is trying to create something here.
70	The game is restarted.
70	Ball possession: Brighton: 57%, Wolverhampton Wanderers: 43%.
69	Fernando Marcal is down injured and receives medical attention on the field.
69	Play has been stopped because there is a player lying on the pitch.
69	Yves Bissouma from Brighton is lucky to stay on the pitch as that was a reckless challenge
69	Yves Bissouma commits a rough foul on an opponent and goes into the referee's book.
68	Dangerous challenge by Yves Bissouma from Brighton. Fernando Marcal on the receiving end of that.
68	Fernando Marcal relieves the pressure with a clearance
68	Jakub Moder from Brighton swings in the corner from the left.
68	Solly March from Brighton tries to pick out a team-mate in the area but his cross is blocked by an opponent.
67	Brighton is trying to create something here.
67	Brighton take a throw-in at the right side of the pitch in their own half of the field
67	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
66	Brighton is trying to create something here.
66	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
66	Tariq Lamptey from Brighton tries to play a 1-2 with Enock Mwepu, but the ball is intercepted.
66	Brighton take a throw-in at the left side of the pitch in their own half of the field
65	Ball possession: Brighton: 57%, Wolverhampton Wanderers: 43%.
65	The game is restarted.
63	The play is stopped because of some technical problems.
63	The referee signals a free kick as Solly March from Brighton trips Fernando Marcal
63	Brighton is in control of the ball.
62	Brighton is in control of the ball.
62	Jakub Moder fouls Nelson Semedo.
62	Safe hands from Jose Sa as he comes out and claims the ball
62	Enock Mwepu goes for goal, but his effort was never close to hitting the target.
61	Jakub Moder swings in a cross from the free kick.
61	Aaron Connolly is leaving the field to be replaced by Alexis Mac Allister in a tactical substitution.
60	The referee signals a free kick as Fernando Marcal from Wolverhampton Wanderers trips Tariq Lamptey
60	Ball possession: Brighton: 55%, Wolverhampton Wanderers: 45%.
59	Brighton is in control of the ball.
59	Brighton is trying to create something here.
59	Good effort by Daniel Podence as he directs a shot on target, but the keeper saves it
59	Could be a good chance here as Adama Traore from Wolverhampton Wanderers cuts the opponents defense open with a through ball...
59	Wolverhampton Wanderers start a counter attack.
59	Max Kilman relieves the pressure with a clearance
58	Solly March puts in a cross...
58	Brighton is trying to create something here.
58	The match resumes with a drop ball.
57	Play has been stopped because there is a player lying on the pitch.
57	Daniel Podence releases a shot, it's parried by Robert Sanchez but he can't hold onto it...
57	Could be a good chance here as Joao Moutinho from Wolverhampton Wanderers cuts the opponents defense open with a through ball...
57	Wolverhampton Wanderers start a counter attack.
56	Brighton is in control of the ball.
56	That's a great ball by Daniel Podence from Wolverhampton Wanderers. He directs the ball behind the defence, but the chance eventually goes begging
56	Daniel Podence from Wolverhampton Wanderers takes the ball forward trying to make something happen...
56	Wolverhampton Wanderers is in control of the ball.
56	Wolverhampton Wanderers is in control of the ball.
55	Ball possession: Brighton: 56%, Wolverhampton Wanderers: 44%.
55	Inches! A volley from Fernando Marcal hits the post!
55	Ruben Neves puts in a cross...
54	Trincao from Wolverhampton Wanderers tries to pick out a team-mate in the area but his cross is blocked by an opponent.
54	Trincao from Wolverhampton Wanderers takes a short corner kick from the right.
54	The game is restarted.
50	The play is stopped because of some technical problems.
50	Ball possession: Brighton: 55%, Wolverhampton Wanderers: 45%.
49	Trincao forces a good save from Robert Sanchez who turns the ball behind for a corner!
49	Could be a good chance here as Adama Traore from Wolverhampton Wanderers cuts the opponents defense open with a through ball...
48	Wolverhampton Wanderers with a potentially dangerous attack.
48	Brighton is trying to create something here.
47	Max Kilman is penalised for pushing Aaron Connolly.
47	Marc Cucurella relieves the pressure with a clearance
47	CROSSBAR! A shot from Fernando Marcal stings the crossbar!
47	Daniel Podence from Wolverhampton Wanderers chips the ball into the penalty box.
47	Wolverhampton Wanderers is trying to create something here.
47	Wolverhampton Wanderers is in control of the ball.
46	Brighton take a throw-in at the left side of the pitch in their own half of the field
46	Wolverhampton Wanderers take a throw-in at the right side of the pitch in their own half of the field
46	Brighton is trying to create something here.
46	The second half is underway.
49	The only goal scored by Wolverhampton Wanderers gives them the slight advantage as we are heading into halftime.
49	It's over! The referee blows for half time
49	Ball possession: Brighton: 55%, Wolverhampton Wanderers: 45%.
49	Goal kick for Wolverhampton Wanderers.
49	How did he miss that? Enock Mwepu has a wonderful chance to score but somehow manages to miss the target!
48	Leandro Trossard releases a shot, it's parried by Jose Sa but he can't hold onto it...
48	Conor Coady relieves the pressure with a clearance
48	Jakub Moder swings in a cross from the free kick.
48	The referee signals a free kick as Fernando Marcal from Wolverhampton Wanderers trips Enock Mwepu
47	Brighton is trying to create something here.
47	Brighton is trying to create something here.
46	The fourth official shows there are 3 minute(s) of time to be added.
46	Wolverhampton Wanderers managed to score the important first goal. Will they build on that?
46	Ruben Neves provided the assist for the goal.
46	GOOOOOAAL! - Romain Saiss volleys the ball into the back of the net with the right. A great finish!
46	Ruben Neves from Wolverhampton Wanderers puts in a great cross...
46	Poor play by Yves Bissouma as his weak attempt to clear the ball puts his side under pressure
46	Fernando Marcal from Wolverhampton Wanderers takes a short corner kick from the right.
45	Daniel Podence from Wolverhampton Wanderers tries to pick out a team-mate in the area but his cross is blocked by an opponent.
45	Fernando Marcal from Wolverhampton Wanderers takes a short corner kick from the right.
45	Ball possession: Brighton: 54%, Wolverhampton Wanderers: 46%.
45	Daniel Podence takes the free-kick but it is blocked by the wall
44	The referee signals a free kick as Tariq Lamptey from Brighton trips Daniel Podence
44	Daniel Podence from Wolverhampton Wanderers takes the ball forward trying to make something happen...
43	Brighton take a throw-in at the left side of the pitch in their own half of the field
43	That's a great ball by Enock Mwepu from Brighton. He directs the ball behind the defence, but the chance eventually goes begging
42	Wolverhampton Wanderers is trying to create something here.
42	Wolverhampton Wanderers is in control of the ball.
41	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
41	Brighton is trying to create something here.
41	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
41	Tariq Lamptey from Brighton tries to play a 1-2 with Enock Mwepu, but the ball is intercepted.
40	Safe hands from Robert Sanchez as he comes out and claims the ball
40	Nelson Semedo from Wolverhampton Wanderers takes the ball forward trying to make something happen...
40	Ball possession: Brighton: 56%, Wolverhampton Wanderers: 44%.
40	Daniel Burn relieves the pressure with a clearance
39	Fernando Marcal puts in a cross...
39	Joel Veltman relieves the pressure with a clearance
39	Fernando Marcal from Wolverhampton Wanderers sends a deflected cross into the box.
39	Wolverhampton Wanderers is trying to create something here.
39	Wolverhampton Wanderers is in control of the ball.
39	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
38	Wolverhampton Wanderers take a throw-in at the left side of the pitch in their own half of the field
38	Brighton is in control of the ball.
38	Wolverhampton Wanderers is in control of the ball.
37	Wolverhampton Wanderers take a throw-in at the left side of the pitch in their own half of the field
37	Brighton is trying to create something here.
36	Safe hands from Robert Sanchez as he comes out and claims the ball
36	Fernando Marcal puts in a cross...
36	Wolverhampton Wanderers take a throw-in at the left side of the pitch in the opponent's half of the field
35	Wolverhampton Wanderers take a throw-in at the right side of the pitch in the opponent's half of the field
35	Ball possession: Brighton: 56%, Wolverhampton Wanderers: 44%.
35	Goal kick for Brighton.
34	Daniel Podence from Wolverhampton Wanderers had a bad first touch and fails to take advantage of the situation.
34	Daniel Burn could cost his team a goal after a defensive blunder.
34	Brighton is in control of the ball.
34	The referee signals a free kick as Jakub Moder from Brighton trips Nelson Semedo
34	Adama Traore is penalised for pushing Joel Veltman.
33	Goal kick for Wolverhampton Wanderers.
33	Tariq Lamptey from Brighton sends an effort wide of target
33	Solly March from Brighton swings in the corner from the right.
33	Fernando Marcal clears the danger but is forced to give away a corner...
33	Solly March from Brighton swings in the corner from the right.
32	The game is restarted.
32	Play has been stopped because there is a player lying on the pitch.
31	Tariq Lamptey from Brighton tries to pick out a team-mate in the area but his cross is blocked by an opponent.
31	Brighton is trying to create something here.
31	Both sides are struggling to open up the opponent's defense
31	Brighton take a throw-in at the left side of the pitch in their own half of the field
31	Brighton is in control of the ball.
30	Ball possession: Brighton: 53%, Wolverhampton Wanderers: 47%.
30	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
29	Brighton is trying to create something here.
29	Brighton is trying to create something here.
28	The referee signals a free kick as Joao Moutinho from Wolverhampton Wanderers trips Enock Mwepu
27	Brighton is trying to create something here.
27	Ruben Neves shoots from outside the box, but Robert Sanchez has it under control
27	Enock Mwepu from Brighton directs the ball behind the defence, but it's intercepted by an opponent player.
26	Nelson Semedo is penalised for pushing Jakub Moder.
25	Brighton is in control of the ball.
25	Wolverhampton Wanderers is trying to create something here.
25	Ball possession: Brighton: 55%, Wolverhampton Wanderers: 45%.
25	Wolverhampton Wanderers is trying to create something here.
24	Wolverhampton Wanderers take a throw-in at the left side of the pitch in the opponent's half of the field
23	Wolverhampton Wanderers plays a short goal kick.
23	Jakub Moder from Brighton swings in the corner from the left.
23	Conor Coady clears the danger but is forced to give away a corner...
23	Marc Cucurella puts in a cross...
22	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
22	Brighton is in control of the ball.
21	Wolverhampton Wanderers take a throw-in at the left side of the pitch in their own half of the field
21	Wolverhampton Wanderers plays a short goal kick.
20	Solly March from Brighton sends an effort wide of target
20	Could be a good chance here as Enock Mwepu from Brighton cuts the opponents defense open with a through ball...
20	Brighton start a counter attack.
20	Ball possession: Brighton: 49%, Wolverhampton Wanderers: 51%.
19	Wolverhampton Wanderers take a throw-in at the right side of the pitch in their own half of the field
19	Fernando Marcal relieves the pressure with a clearance
19	Jakub Moder from Brighton swings in the corner from the left.
18	Brighton is trying to create something here.
17	Brighton is in control of the ball.
17	Daniel Podence from Wolverhampton Wanderers is ruled offside.
17	Wolverhampton Wanderers is in control of the ball.
16	Solly March is penalised for pushing Fernando Marcal.
16	Goal kick for Wolverhampton Wanderers.
16	Hee-Chan Hwang is injured and is replaced by Adama Traore.
16	Enock Mwepu fails to find the target with a shot from outside the box
15	Max Kilman relieves the pressure with a clearance
15	Tariq Lamptey from Brighton sends a deflected cross into the box.
15	Conor Coady relieves the pressure with a clearance
15	Solly March puts in a cross...
15	Ball possession: Brighton: 40%, Wolverhampton Wanderers: 60%.
15	Brighton is trying to create something here.
14	Wolverhampton Wanderers is in control of the ball.
14	Wolverhampton Wanderers is in control of the ball.
14	Tariq Lamptey from Brighton is alert and heads the ball to his keeper.
13	Nelson Semedo puts in a cross...
13	The game is restarted.
13	Hee-Chan Hwang is injured and is taken off the field to receive medical treatment.
11	Hee-Chan Hwang is down injured and receives medical attention on the field.
11	Play has been stopped because there is a player lying on the pitch.
10	Jakub Moder fouls Daniel Podence.
10	Wolverhampton Wanderers take a throw-in at the right side of the pitch in the opponent's half of the field
10	Brighton is in control of the ball.
10	Ball possession: Brighton: 38%, Wolverhampton Wanderers: 62%.
9	Marc Cucurella fouls Max Kilman.
9	Hee-Chan Hwang comes back onto the field.
9	Conor Coady relieves the pressure with a clearance
9	Tariq Lamptey puts in a cross...
9	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
8	The game is restarted.
8	Play has been stopped because there is a player lying on the pitch.
8	Conor Coady relieves the pressure with a clearance
8	Solly March from Brighton swings in the corner from the right.
7	Brighton start a counter attack.
6	Good effort by Enock Mwepu as he directs a shot on target, but the keeper saves it
6	Joel Veltman puts in a cross...
6	The game is restarted.
6	Hee-Chan Hwang is injured and is taken off the field to receive medical treatment.
5	Hee-Chan Hwang is down injured and receives medical attention on the field.
5	Play has been stopped because there is a player lying on the pitch.
5	Ball possession: Brighton: 22%, Wolverhampton Wanderers: 78%.
5	The referee signals a free kick as Hee-Chan Hwang from Wolverhampton Wanderers trips Tariq Lamptey
5	Brighton take a throw-in at the left side of the pitch in the opponent's half of the field
4	Brighton is in control of the ball.
4	Brighton take a throw-in at the right side of the pitch in the opponent's half of the field
3	The match resumes with a drop ball.
3	Play has been stopped because there is a player lying on the pitch.
2	Wolverhampton Wanderers take a throw-in at the left side of the pitch in their own half of the field
2	Wolverhampton Wanderers is in control of the ball.
1	Fernando Marcal is penalised for pushing Aaron Connolly.
1	Yves Bissouma relieves the pressure with a clearance
1	Wolverhampton Wanderers is trying to create something here.
1	The pitch is in fantastic condition today and the players are enjoying the surface.
1	Welcome to tonights game where the floodlight surrounds the pitch.
1	Wolverhampton Wanderers kick-off, and the game is underway.The referee starts the match.Welcome to The American Express Community Stadium, the match will start in about 5 minutes.Less commentary
97	Plenty of chances in this game but neither team could score the decisive goal
97	That's it! The referee blows the final whistle
97	Today's attendance is 22861.
97	Ball possession: Crystal Palace: 60%, Southampton: 40%.
97	The game is restarted.
96	Wilfredo Caballero from Southampton receives a yellow card for time wasting.
96	Lyanco is injured and is taken off the field to receive medical treatment.
95	Ball possession: Crystal Palace: 60%, Southampton: 40%.
95	Lyanco is down injured and receives medical attention on the field.
95	Play has been stopped because there is a player lying on the pitch.
95	Christian Benteke from Crystal Palace commits a foul by elbowing Lyanco
95	Goal kick for Crystal Palace.
94	Oriol Romeu fails to find the target with a shot from outside the box
94	Moussa Djenepo of Southampton passes the ball to a team mate.
94	James Ward-Prowse of Southampton passes the ball to a team mate.
94	Goal kick for Southampton.
94	Michael Olise swings in the ball from a corner on the right, but it is nowhere near a teammate and it goes out of the field.
93	Mohammed Salisu clears the danger but is forced to give away a corner...
93	Conor Gallagher from Crystal Palace directs a ball squarely in the box, but it's intercepted by an opponent player.
93	Michael Olise of Crystal Palace passes the ball to a team mate.
93	Christian Benteke from Crystal Palace tries to head the ball to a team mate, but it's intercepted by an opponent player.
93	Joel Ward swings in a cross from the free kick.
92	Shane Long is penalised for pushing Joachim Andersen.
92	Goal kick for Crystal Palace.
92	Moussa Djenepo from Southampton had a bad first touch and fails to take advantage of the situation.
92	Nathan Redmond of Southampton passes the ball to a team mate.
92	Theo Walcott from Southampton find his team mate with a neat back heel pass.
92	Goal kick for Southampton.
